   42    10     6     1.38e-11     1.75e-11     1.97e-11     6.38e-12     1.78e-11     3.73e-12     2.99e-11     2.53e-11     2.06e-11     3.33e-11     1.71e-11     1.08e-11     6.87e-13     2.20e-11     3.96e-11     3.55e-11
   43    10     7     2.92e-11     3.32e-11     3.82e-11     2.68e-11     3.63e-12     3.48e-11     4.16e-11     3.55e-12     1.82e-11     4.05e-11     3.60e-11     1.97e-11     3.20e-11     3.65e-11     2.57e-11     1.94e-11
   44    10     8     6.23e-11     2.86e-11     1.18e-10     1.43e-12     8.72e-11     3.64e-11     9.21e-11     1.39e-11     7.39e-11     2.70e-11     1.09e-10     1.03e-10     6.61e-11     8.95e-11     7.10e-11     4.06e-11
   45    10     9     1.33e-10     9.42e-11     8.88e-11     5.34e-11     1.11e-10     8.92e-11     8.01e-11     7.03e-11     5.96e-11     3.58e-11     6.94e-11     8.90e-11     7.91e-11     1.14e-10     2.70e-11     8.75e-12
   46    11     1     2.90e-13     2.07e-13     4.73e-13     2.41e-13     9.43e-13     7.90e-13     6.19e-13     9.80e-13     1.03e-12     1.79e-12     1.10e-12     4.88e-13     6.33e-13     1.98e-12     2.58e-13     6.00e-13
   47    11     2     5.52e-13     2.99e-14     1.60e-12     2.13e-12     1.77e-12     2.44e-12     7.48e-13     6.01e-13     3.31e-12     1.97e-12     5.01e-12     4.54e-12     1.66e-12     2.70e-12     4.97e-12     3.18e-12
   48    11     3     4.90e-13     2.12e-12     5.07e-12     2.07e-12     3.99e-12     4.73e-12     3.62e-12     7.89e-13     5.51e-12     4.15e-12     9.15e-12     5.52e-12     1.02e-11     5.20e-12     9.08e-13     9.68e-12
   49    11     4     4.66e-12     3.87e-12     4.24e-12     5.16e-12     1.51e-12     6.49e-12     7.78e-12     9.46e-12     1.27e-11     6.96e-12     6.52e-14     1.16e-11     5.76e-12     1.25e-11     1.04e-11     3.15e-12
   50    11     5     7.53e-12     8.29e-12     4.71e-12     1.65e-11     1.54e-11     1.73e-11     4.44e-12     1.14e-11     1.77e-11     7.16e-13     1.20e-11     6.59e-12     1.65e-11     3.03e-12     1.74e-11     1.46e-11
   51    11     6     1.79e-11     1.78e-11     1.20e-11     6.17e-12     7.20e-12     3.10e-12     1.23e-11     1.18e-11     1.58e-11     1.37e-11     9.67e-12     1.28e-11     1.30e-11     1.99e-11     3.91e-12     8.51e-12
   52    11     7     1.84e-11     1.95e-11     1.73e-11     1.87e-11     2.67e-11     3.69e-11     1.39e-11     1.63e-11     2.25e-11     3.51e-11     5.98e-12     1.52e-11     2.49e-11     1.11e-11     2.07e-11     4.83e-11
   53    11     8     3.98e-11     2.94e-11     3.01e-11     1.51e-11     2.15e-11     1.51e-11     2.14e-11     9.42e-12     2.06e-11     2.47e-11     5.06e-11     3.30e-11     2.53e-11     3.34e-11     5.23e-11     1.63e-11
   54    11     9     2.67e-11     4.49e-11     7.26e-11     3.85e-11     5.99e-11     7.21e-11     6.29e-11     1.06e-10     4.79e-11     1.45e-10     4.04e-11     1.76e-11     1.09e-10     4.75e-11     8.97e-11     1.22e-10
   55    11    10     4.40e-11     7.85e-11     8.12e-12     8.87e-11     4.26e-11     8.63e-11     4.60e-11     1.47e-10     6.41e-11     6.65e-11     2.43e-11     7.37e-11     1.05e-10     3.79e-11     1.07e-10     6.83e-11
   56    12     1     1.75e-13     1.37e-13     3.51e-13     4.75e-13     3.08e-13     5.97e-13     6.04e-13     3.16e-13     1.28e-12     3.09e-13     1.06e-12     6.56e-13     1.84e-13     1.36e-12     1.17e-12     9.57e-13
   57    12     2     6.53e-13     1.14e-13     1.85e-12     6.82e-13     1.09e-12     3.02e-12     2.86e-12     1.68e-12     3.20e-12     1.22e-12     2.97e-12     2.57e-12     3.84e-12     3.62e-12     4.41e-12     3.78e-12
   58    12     3     8.59e-13     1.91e-12     1.05e-12     3.40e-12     1.88e-12     3.20e-12     2.57e-12     4.22e-13     6.21e-12     3.23e-12     2.52e-12     6.55e-12     6.26e-13     3.03e-12     5.82e-12     3.34e-13
   59    12     4     3.46e-12     2.30e-12     5.39e-12     5.03e-12     4.28e-12     6.85e-12     1.12e-11     5.59e-12     1.05e-11     1.11e-12     6.98e-12     1.21e-11     3.06e-12     1.06e-11     1.08e-11     9.04e-12
   60    12     5     3.34e-12     3.92e-12     6.41e-12     5.00e-12     7.64e-12     6.61e-12     7.07e-12     5.27e-12     1.16e-12     1.15e-11     5.39e-12     2.89e-12     1.24e-11     1.66e-11     5.04e-12     1.67e-11
   61    12     6     1.70e-13     1.37e-11     6.49e-12     7.17e-12     8.71e-12     5.28e-12     1.14e-11     7.17e-12     1.45e-11     1.81e-11     1.31e-11     2.71e-11     1.29e-11     1.39e-11     2.40e-11     7.49e-12
   62    12     7     1.88e-11     1.41e-11     1.62e-11     1.23e-11     1.12e-11     6.07e-12     1.60e-11     1.65e-11     1.68e-11     1.50e-11     1.47e-11     3.03e-11     2.68e-11     9.65e-12     1.50e-11     1.92e-11
   63    12     8     2.10e-11     5.30e-13     1.41e-11     2.33e-11     1.90e-11     1.86e-11     2.54e-11     1.41e-11     1.24e-12     1.53e-11     5.99e-11     3.55e-11     4.53e-11     5.85e-11     4.88e-11     4.82e-11
   64    12     9     9.46e-12     5.20e-11     2.60e-11     1.37e-11     3.33e-11     2.20e-11     3.13e-11     3.14e-11     3.19e-11     4.48e-11     1.54e-11     1.64e-11     4.46e-11     2.74e-11     9.75e-12     1.69e-11
   65    12    10     2.91e-11     4.91e-11     5.61e-11     3.26e-11     7.58e-11     5.94e-11     2.36e-11     1.08e-10     6.79e-11     1.94e-11     5.51e-11     5.70e-11     9.92e-11     6.34e-11     8.84e-11     1.38e-10
   66    12    11     3.67e-11     1.22e-10     5.35e-11     1.20e-11     4.15e-11     9.44e-11     7.31e-11     6.35e-11     6.39e-11     9.77e-11     5.59e-11     5.23e-11     4.50e-11     6.75e-11     1.49e-11     4.58e-11
   67    13     1     9.36e-14     1.76e-13     1.87e-13     4.41e-13     4.77e-13     7.09e-13     1.77e-13     2.66e-13     3.85e-13     1.33e-12     6.86e-13     1.20e-12     9.84e-13     1.05e-12     3.62e-13     1.13e-12
   68    13     2     3.90e-14     6.22e-13     9.43e-13     1.15e-12     1.03e-12     7.77e-13     1.52e-12     3.14e-12     2.34e-12     8.14e-13     1.87e-12     1.83e-12     3.04e-12     1.65e-12     5.43e-12     1.14e-12
   69    13     3     1.75e-13     6.40e-13     8.52e-13     4.37e-13     1.15e-12     2.64e-12     1.38e-12     2.49e-12     5.30e-12     1.97e-12     1.13e-12     5.17e-12     1.88e-12     3.77e-12     4.66e-12     5.67e-12
   70    13     4     1.58e-12     1.88e-12     1.63e-12     3.09e-12     4.96e-12     1.15e-12     3.43e-12     3.57e-12     2.98e-12     6.58e-12     7.55e-12     3.07e-12     5.98e-12     9.18e-12     6.59e-12     1.74e-12
   71    13     5     5.02e-12     1.59e-12     2.71e-12     4.55e-12     9.11e-12     6.47e-12     6.16e-12     7.59e-12     5.04e-12     7.77e-12     1.03e-11     1.00e-11     1.64e-11     8.38e-12     7.29e-12     9.63e-12
   72    13     6     7.91e-13     1.69e-12     2.35e-12     5.09e-12     6.27e-12     1.81e-11     1.43e-12     8.11e-13     5.13e-12     1.09e-11     1.48e-11     5.35e-12     1.44e-12     1.60e-11     6.62e-12     1.67e-11
   73    13     7     2.48e-12     1.25e-11     9.28e-12     1.26e-11     3.65e-12     1.09e-11     7.52e-12     1.94e-11     2.47e-11     4.18e-12     9.59e-12     8.69e-12     9.64e-12     4.68e-12     1.41e-11     2.88e-11
   74    13     8     2.98e-11     3.04e-11     6.90e-12     1.05e-11     1.74e-11     1.89e-11     2.33e-11     1.57e-11     9.66e-12     2.51e-11     1.47e-12     1.14e-11     7.56e-12     1.55e-11     2.27e-11     2.11e-11
   75    13     9     4.92e-11     8.44e-12     9.72e-12     1.91e-11     1.91e-11     2.37e-11     2.79e-11     3.14e-12     4.06e-11     2.29e-11     1.42e-11     1.13e-11     7.87e-12     2.94e-11     5.00e-12     4.25e-11
   76    13    10     1.77e-11     2.52e-12     3.50e-11     3.88e-11     1.47e-11     2.97e-11     2.97e-11     3.96e-11     1.70e-11     3.84e-11     4.59e-11     3.82e-11     2.84e-11     2.27e-11     5.64e-11     2.25e-11
   77    13    11     1.66e-11     6.67e-11     4.44e-11     8.10e-11     4.49e-11     5.13e-11     4.39e-11     1.01e-10     8.59e-11     7.93e-11     7.40e-11     7.99e-11     7.13e-11     2.73e-11     9.75e-11     1.43e-10
   78    13    12     2.32e-12     7.46e-11     6.54e-11     9.88e-11     8.22e-11     4.66e-11     2.98e-11     1.16e-11     4.26e-11     8.43e-11     5.02e-11     1.21e-10     8.32e-11     8.18e-11     9.52e-11     4.10e-11
   79    14     1     6.21e-15     8.45e-14     1.40e-13     1.47e-13     1.66e-13     1.40e-13     2.70e-13     7.45e-13     5.64e-13     3.58e-13     1.08e-13     6.97e-13     7.97e-13     4.98e-13     8.70e-13     8.75e-13
   80    14     2     2.47e-13     1.98e-13     4.81e-13     4.10e-13     1.14e-12     1.63e-12     1.87e-12     1.61e-12     5.03e-13     2.35e-12     1.66e-12     1.05e-12     2.82e-12     2.02e-12     1.68e-12     8.23e-13
   81    14     3     2.94e-13     1.08e-12     6.67e-13     2.14e-12     2.98e-13     2.23e-12     1.32e-12     4.18e-12     2.64e-12     1.13e-12     2.71e-12     2.62e-12     3.74e-12     1.10e-12     3.27e-12     5.07e-12
   82    14     4     8.56e-13     6.68e-13     9.38e-13     2.19e-12     3.59e-12     2.25e-12     4.13e-12     4.45e-12     3.07e-14     5.70e-12     5.84e-12     4.25e-12     3.20e-12     6.04e-12     5.49e-12     7.05e-12
   83    14     5     2.25e-12     2.98e-12     5.78e-12     2.28e-12     3.86e-12     3.87e-12     2.66e-12     9.75e-12     3.47e-12     3.88e-12     6.82e-12     4.11e-12     1.09e-11     7.30e-12     8.25e-12     5.49e-12
   84    14     6     5.18e-12     1.70e-12     8.08e-12     4.16e-12     5.30e-12     5.97e-12     7.03e-12     1.36e-12     2.60e-12     1.65e-11     6.73e-12     1.33e-11     8.63e-12     6.54e-12     1.47e-11     7.59e-12
   85    14     7     3.84e-12     8.97e-12     7.78e-12     1.03e-11     1.80e-11     6.12e-12     9.84e-12     1.08e-11     5.12e-12     1.47e-11     1.50e-11     8.67e-12     1.46e-11     7.31e-12     1.12e-11     5.36e-12
   86    14     8     8.85e-12     8.05e-12     5.66e-12     5.02e-12     9.87e-12     8.75e-12     1.66e-11     1.26e-11     4.87e-12     5.89e-12     2.43e-11     1.32e-12     1.40e-11     1.21e-11     2.08e-11     1.43e-11
   87    14     9     5.98e-12     1.46e-11     1.75e-11     2.18e-11     1.41e-11     1.26e-11     1.47e-11     3.06e-11     1.36e-11     2.84e-11     2.14e-11     1.58e-11     2.01e-11     1.37e-11     1.29e-11     8.01e-12
   88    14    10     2.26e-11     3.52e-11     2.59e-11     2.67e-11     5.43e-12     2.38e-11     9.40e-12     3.35e-11     2.06e-12     5.96e-12     4.79e-11     3.04e-11     2.56e-11     2.36e-11     4.70e-11     1.84e-11
   89    14    11     3.15e-11     9.91e-12     1.08e-11     1.52e-11     2.04e-11     2.87e-12     1.04e-11     5.11e-11     2.98e-11     1.20e-11     3.16e-11     5.69e-11     3.31e-11     4.74e-11     2.40e-11     2.33e-11
   90    14    12     6.25e-11     3.88e-11     4.66e-11     6.62e-11     7.23e-11     1.05e-10     7.16e-11     7.41e-11     6.65e-11     6.55e-11     7.03e-11     1.75e-11     2.35e-11     4.90e-11     6.43e-11     1.32e-10
   91    14    13     1.13e-10     9.81e-11     1.36e-10     5.41e-11     8.05e-11     1.07e-10     2.50e-11     4.80e-11     1.40e-11     8.01e-11     5.74e-11     7.50e-11     7.65e-11     6.38e-11     8.65e-11     2.25e-11
   92    15     1     4.28e-14     2.41e-17     6.96e-14     3.33e-13     1.27e-13     4.87e-15     2.94e-13     3.83e-13     6.79e-13     6.09e-13     5.54e-13     3.79e-13     6.33e-13     3.03e-14     1.04e-12     1.11e-12
   93    15     2     1.63e-13     1.09e-13     3.85e-13     4.06e-13     4.44e-13     8.59e-13     7.45e-13     6.71e-13     1.40e-12     4.74e-13     1.85e-13     1.18e-12     1.76e-12     5.18e-13     1.77e-12     6.92e-13
   94    15     3     4.08e-13     1.24e-13     6.41e-13     6.35e-13     3.33e-13     1.77e-12     2.46e-12     1.91e-12     1.91e-12     3.78e-12     6.90e-13     1.38e-12     1.15e-12     2.17e-12     3.01e-12     2.57e-12
   95    15     4     1.09e-12     1.68e-12     1.40e-12     2.39e-12     2.27e-12     1.51e-13     4.64e-12     2.76e-12     3.24e-12     2.52e-12     1.24e-12     5.64e-12     3.86e-12     3.81e-12     3.78e-12     5.16e-12
   96    15     5     6.34e-13     1.01e-12     2.42e-13     3.49e-12     4.37e-12     4.40e-12     5.14e-12     6.79e-12     8.28e-13     5.39e-12     2.94e-12     2.54e-12     3.89e-12     1.88e-12     7.59e-12     3.64e-12
   97    15     6     2.52e-12     2.16e-13     2.71e-12     4.48e-12     2.85e-12     4.03e-12     4.26e-12     2.40e-12     6.42e-12     2.36e-12     8.64e-12     7.30e-12     8.31e-12     1.59e-12     5.46e-12     3.54e-12
   98    15     7     8.24e-12     2.35e-12     8.26e-13     6.83e-12     3.16e-12     7.02e-12     4.89e-12     3.18e-12     6.85e-12     9.91e-12     1.27e-11     3.82e-12     8.96e-12     1.09e-11     7.52e-12     9.46e-12
   99    15     8     1.03e-11     1.31e-11     4.14e-12     1.65e-11     1.11e-11     2.50e-12     1.30e-11     1.79e-11     5.88e-12     6.70e-13     5.38e-12     1.53e-11     4.91e-13     5.32e-12     1.18e-11     1.91e-11
  100    15     9     2.85e-11     1.30e-11     1.04e-11     7.81e-12     1.45e-11     1.12e-11     2.26e-11     1.69e-11     1.83e-11     2.24e-11     7.15e-12     1.76e-11     1.50e-11     1.06e-11     2.08e-11     1.97e-11
  101    15    10     4.25e-11     1.60e-11     1.46e-11     1.66e-11     2.48e-11     1.46e-11     8.23e-12     1.32e-11     1.80e-11     1.35e-11     7.60e-12     5.96e-12     6.95e-12     1.61e-11     1.04e-11     8.10e-12
  102    15    11     2.70e-11     2.36e-11     1.46e-11     1.19e-11     3.40e-11     2.67e-11     2.07e-11     4.69e-11     1.19e-11     1.74e-11     1.62e-11     2.23e-11     4.23e-11     2.58e-11     1.14e-11     3.21e-11
  103    15    12     5.25e-11     4.46e-11     3.72e-11     4.53e-11     4.87e-11     4.56e-11     1.92e-11     4.22e-11     4.19e-11     3.16e-11     2.10e-11     4.07e-11     2.91e-11     1.50e-11     1.18e-11     1.26e-12
  104    15    13     3.87e-11     7.60e-11     6.97e-11     7.94e-11     7.62e-13     1.49e-11     6.16e-11     1.22e-11     8.75e-11     1.08e-10     3.15e-11     5.57e-11     9.10e-11     9.34e-11     7.73e-11     1.71e-10
  105    15    14     1.28e-10     3.45e-11     7.68e-11     1.07e-10     1.33e-10     1.32e-10     1.15e-10     1.56e-10     5.21e-11     4.02e-11     2.27e-11     1.01e-10     5.94e-11     5.13e-11     1.26e-12     4.66e-11
